"PurchaseOrderID","SupplierID","EmployeeID","ShippingMethodID","OrderDate"
"25","1","1","3","10/15/2003"
"27","1","1","3","9/16/2003"
"28","1","1","3","9/17/2003"
"29","1","1","3","9/17/2003"
"30","1","1","3","9/17/2003"
"31","1","1","3","9/20/2003"
"32","1","1","3","9/20/2003"
"33","1","1","3","9/26/2003"
"34","1","1","3","9/30/2003"
"35","1","1","3","10/4/2003"
"36","1","3","3","10/22/2003"
"37","1","3","3","10/11/2003"
"38","1","3","3","10/25/2003"
"39","1","1","3","11/15/2003"
"41","1","6","3","12/2/2003"
"42","1","6","3","12/2/2003"
"44","1","6","3","12/17/2003"
"45","1","6","3","12/17/2003"
"46","1","6","2","12/31/2003"
"48","1","6","3","1/14/2004"
"49","1","6","3","1/23/2004"
"52","1","6","3","2/9/2004"
"53","1","6","3","2/13/2004"
"54","1","6","3","2/21/2004"
"55","1","6","2","3/3/2004"
"57","1","6","3","3/16/2004"
"59","1","2","3","3/18/2004"
"60","1","6","2","3/26/2004"
"61","1","6","3","3/27/2004"
"62","1","6","3","3/31/2004"
"65","1","6","2","4/19/2004"
"67","1","6","3","4/10/2004"
"68","1","6","3","4/10/2004"
"69","1","6","3","4/3/2004"
"73","1","6","3","4/17/2004"
"74","1","6","2","5/6/2004"
"75","1","6","3","4/22/2004"
"76","1","6","3","4/24/2004"
"79","1","6","2","6/20/2004"
"80","1","6","2","5/12/2004"
"81","1","6","2","5/20/2004"
"82","1","6","2","5/20/2004"
"83","1","6","2","5/20/2004"
"84","1","6","2","5/29/2004"
"86","1","6","2","6/1/2004"
"87","1","6","2","6/2/2004"
"88","1","6","2","6/9/2004"
"89","1","6","2","6/11/2004"
"90","1","6","2","6/21/2004"
"91","1","6","2","6/23/2004"
"92","1","6","2","6/23/2004"
"96","1","6","2","7/9/2004"
"97","1","6","2","7/13/2004"
"99","1","6","2","7/3/2004"
"100","1","6","2","7/2/2004"
"101","1","6","2","6/30/2004"
"102","1","6","2","6/22/2004"
"103","1","6","2","6/26/2004"
"104","1","6","2","7/10/2004"
"105","1","6","2","7/10/2004"
"106","1","6","2","7/27/2004"
"107","1","6","2","7/31/2004"
"108","1","6","2","9/4/2004"
"111","1","6","2","9/7/2004"
"112","1","6","2","9/8/2004"
"113","1","6","2","8/25/2004"
"115","1","6","2","9/4/2004"
"116","1","6","2","8/28/2004"
"117","1","6","2","9/17/2004"
"118","1","6","2","9/8/2004"
"119","1","6","2","9/8/2004"
"120","1","6","2","9/28/2004"
"121","1","6","2","9/23/2004"
"123","1","6","2","10/9/2004"
"126","1","6","2","10/13/2004"
"127","1","6","2","10/26/2004"
"128","1","6","2","10/9/2004"
"129","1","6","2","10/16/2004"
"130","1","6","2","11/2/2004"
"131","1","6","2","10/15/2004"
"133","1","6","2","11/4/2004"
"134","1","6","2","9/1/2004"
"135","1","6","2","9/24/2004"
"136","1","6","2","10/27/2004"
"137","1","6","2","9/23/2004"
"138","1","6","2","11/12/2004"
"140","1","6","2","11/24/2004"
"141","1","6","2","11/2/2004"
"142","1","6","2","11/2/2004"
"143","1","6","2","11/10/2004"
"144","1","6","2","11/11/2004"
"145","1","6","2","11/19/2004"
"146","1","6","2","11/18/2004"
"147","1","6","2","11/25/2004"
"148","1","6","2","11/18/2004"
"150","2","6","2","12/15/2004"
"151","1","6","2","11/23/2004"
"152","1","6","2","11/24/2004"
"153","1","6","2","11/27/2004"
"154","1","6","2","11/24/2004"
"155","1","6","2","12/29/2004"
"156","1","6","2","1/13/2005"
"157","2","6","2","1/27/2005"
"161","1","6","2","2/26/2005"
"162","1","6","2","3/4/2005"
"164","1","6","2","2/26/2005"
"166","1","6","2","4/6/2005"
"167","1","6","2","3/25/2005"
"168","1","6","2","2/14/2005"
"169","1","6","2","2/14/2005"
"170","1","6","2","3/23/2005"
"171","1","6","2","4/6/2005"
"172","1","6","2","4/6/2005"
"173","1","6","2","4/25/2005"
"174","1","6","1","4/18/2005"
"175","1","6","1","4/18/2005"
"176","1","6","2","3/25/2005"
"178","1","6","2","5/18/2005"
"179","1","6","2","6/7/2005"
"180","1","6","2","6/8/2005"
"183","1","6","2","6/1/2005"
"184","1","6","2","5/21/2005"
"185","1","6","2","5/25/2005"
"186","1","6","2","6/29/2005"
"187","2","6","2","7/1/2005"
"188","1","1","","7/2/2005"
"190","1","1","2","6/9/2005"
"191","1","1","","7/7/2005"
"192","1","6","2","6/30/2005"
"193","1","6","2","6/30/2005"
"194","1","6","2","6/30/2005"
"195","1","6","2","6/30/2005"
"196","1","6","2","7/18/2005"
"199","1","13","2","7/29/2005"
"200","1","13","2","7/29/2005"
"201","1","1","2","8/4/2005"
"202","1","1","2","8/4/2005"
"203","1","1","2","8/4/2005"
"204","1","1","2","8/4/2005"
"205","1","1","2","8/5/2005"
"206","1","1","2","8/5/2005"
"207","1","1","2","8/5/2005"
"208","1","1","2","8/5/2005"
"210","1","1","2","8/10/2005"
"211","1","1","2","8/10/2005"
"212","1","1","2","8/10/2005"
"213","1","1","2","8/10/2005"
"214","1","1","2","8/10/2005"
"215","1","1","2","8/10/2005"
"216","1","1","2","8/10/2005"
"217","1","1","2","8/16/2005"
"218","1","1","2","8/16/2005"
"219","1","1","2","8/16/2005"
"220","1","1","2","8/16/2005"
"221","1","1","2","8/16/2005"
"222","1","1","2","8/16/2005"
"226","1","1","","8/23/2005"
"227","1","1","2","8/25/2005"
"228","1","1","2","8/25/2005"
"229","1","1","2","8/25/2005"
"230","1","1","2","8/25/2005"
"231","1","1","2","8/25/2005"
"232","1","1","2","8/25/2005"
"233","1","1","2","8/25/2005"
"234","1","1","2","8/25/2005"
"235","1","1","2","8/25/2005"
"239","1","1","2","8/31/2005"
"240","1","1","2","8/31/2005"
"241","1","1","2","8/31/2005"
"242","1","1","2","8/31/2005"
"243","1","1","2","8/31/2005"
"244","1","1","2","8/31/2005"
"246","1","15","2","9/8/2005"
"247","1","15","2","9/8/2005"
"248","1","15","2","9/10/2005"
"249","1","15","2","9/10/2005"
"250","2","15","2","9/10/2005"
"251","1","1","2","9/19/2005"
"252","2","15","2","9/20/2005"
"253","1","15","2","9/22/2005"
"254","1","15","2","9/22/2005"
"255","1","15","2","9/22/2005"
"256","1","15","2","9/22/2005"
"257","1","15","2","9/22/2005"
"258","1","15","2","9/22/2005"
"259","1","15","2","9/22/2005"
"260","1","15","2","9/22/2005"
"261","1","15","2","9/22/2005"
"262","1","15","2","9/24/2005"
"263","1","15","2","10/6/2005"
"264","1","15","2","10/6/2005"
"265","1","15","2","10/6/2005"
"266","1","15","2","10/6/2005"
"269","1","1","2","10/24/2005"
"270","1","15","2","10/29/2005"
"271","1","15","2","10/29/2005"
"272","1","15","2","10/29/2005"
"273","1","15","2","10/29/2005"
"274","2","15","2","10/31/2005"
"279","1","15","2","11/23/2005"
"281","1","1","2","11/29/2005"
"282","2","1","3","11/29/2005"
"283","1","15","2","12/7/2005"
"284","1","15","2","12/7/2005"
"285","1","15","2","1/11/2006"
"286","1","15","2","1/11/2006"
"287","1","15","2","1/11/2006"
"288","1","15","2","1/11/2006"
"289","1","15","2","1/20/2006"
"290","1","15","2","1/23/2006"
"291","1","15","2","1/23/2006"
"292","1","15","2","1/23/2006"
"293","1","15","2","1/23/2006"
"294","1","15","","1/24/2006"
"298","1","15","2","2/13/2006"
"299","1","15","2","2/13/2006"
"300","1","15","2","2/13/2006"
"301","1","15","2","2/13/2006"
"302","1","15","2","2/13/2006"
"303","1","15","2","2/13/2006"
"304","1","15","2","2/14/2006"
"305","1","15","2","2/14/2006"
"306","1","15","","2/20/2006"
"307","1","15","2","3/16/2006"
"308","1","15","2","3/16/2006"
"309","1","15","2","3/17/2006"
"310","1","15","2","3/20/2006"
"311","1","15","2","3/20/2006"
"312","1","15","2","3/20/2006"
"313","1","15","2","3/21/2006"
"314","1","15","2","3/22/2006"
"315","1","1","2","4/5/2006"
